Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
limpki,Limpkin,Aramus guarauna,2021-07-23 07:32,1.0,28.6511002,-82.2767521,S92172706,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 07:30,1.0,26.0758749,-81.71512840000001,S92189570,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-23 07:11,1.0,28.1307501,-81.4790642,S92168672,1,2021,7,23,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 18:30,1.0,26.8165642,-80.0868773,S92424409,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 14:55,1.0,27.301524,-82.254013,S92155944,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 10:22,1.0,28.209889,-82.628026,S92129898,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 10:00,2.0,26.6293528,-80.3059387,S92139145,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 09:21,1.0,28.8451812,-81.9517422,S92128275,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 08:15,2.0,28.1439001,-82.6609078,S92245495,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 08:13,1.0,26.463077000000002,-81.67361899999999,S92169647,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 08:12,1.0,28.2064531,-82.6127489,S92126028,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 07:46,4.0,28.4270119,-81.434108,S92134922,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 07:07,5.0,27.396644000000002,-81.107366,S92158282,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 06:45,4.0,26.8582653,-81.9401121,S92134720,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-22 06:30,2.0,26.295702600000002,-81.487646,S92126984,1,2021,7,22,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-21 19:42,1.0,28.3751271,-81.53339179999999,S92110013,1,2021,7,21,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-21 18:10,1.0,30.474568599999998,-84.25295859999999,S92106254,1,2021,7,21,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-21 17:44,4.0,27.872863,-81.0518074,S92105791,1,2021,7,21,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-21 17:00,4.0,32.971243,-80.040405,S92104461,1,2021,7,21,Aramidae,No
limpki,Limpkin,Aramus guarauna,2021-07-21 16:30,1.0,30.365941999999997,-84.3001404,S92101734,1,2021,7,21,Aramidae,No
